sample_number,window_start,success,prediction,target_scaled,prediction_abs_error_scaled,baseline_prediction,output_difference,gradient_l2,gradient_max_abs,gradient_mean_abs,early_gradient_mean,recent_gradient_mean,early_recent_gradient_ratio,ig_sum,captum_delta,ig_max_abs,absolute_completeness_error,normalized_completeness_error,error
20,41369,True,0.23447471857070923,0.3229105472564697,0.0884358286857605,0.14732897281646729,0.08714574575424194,1896414355390464.0,869323795070976.0,8513172013056.0,466675845562368.0,0.7420346140861511,628913849439625.1,1.916779651494052e+17,1.916779651494052e+17,1.4814531050851533e+17,1.916779651494052e+17,2.1995102972410499e+18,
21,43437,True,0.12813515961170197,0.09793287515640259,0.030202284455299377,0.14732897281646729,-0.01919381320476532,2.637003619303424e+16,1.2954809996935168e+16,79917689602048.0,4729135339405312.0,2.198885679244995,2150696320433128.8,-2.5101185257591276e+18,-2.5101185257591276e+18,1.5981342410974167e+18,2.5101185257591276e+18,1.3077748016246994e+20,
22,45506,True,0.22907018661499023,0.32009196281433105,0.09102177619934082,0.14732897281646729,0.08174121379852295,42129594253312.0,33286080430080.0,135827259392.0,8096729006080.0,3.617913007736206,2237955691241.529,-5.825634541544407e+17,-5.825634541544407e+17,2.219815364030628e+17,5.825634541544407e+17,7.126924437202822e+18,
23,47574,True,0.1738390028476715,0.43345507979393005,0.25961607694625854,0.14732897281646729,0.026510030031204224,219811676160.0,183435902976.0,543757696.0,36732391424.0,1.8658491373062134,19686688859.01019,-4.944788288742359e+17,-4.944788288742359e+17,4.043316915790152e+17,4.944788288742359e+17,1.865251862308515e+19,
24,49643,True,0.08283260464668274,0.10809944570064545,0.025266841053962708,0.14732897281646729,-0.06449636816978455,10867.3671875,4763.369140625,76.87950897216797,2369.831787109375,0.7532798051834106,3146.0179481811037,-4336393650176.0,-4336393650176.0,881679663104.0,4336393650175.9355,67234695117921.805,
25,51711,True,0.05596247315406799,0.1027483344078064,0.0467858612537384,0.14732897281646729,-0.09136649966239929,1757928576.0,747524288.0,9282682.0,454310304.0,0.24130573868751526,1882716534.0991752,33446789382144.0,33446789382144.0,50868489551872.0,33446789382144.09,366072789319547.6,
26,53780,True,0.1124020367860794,0.05523383244872093,0.057168204337358475,0.14732897281646729,-0.03492693603038788,6354226688.0,2992478464.0,28179720.0,1568082560.0,0.3055408298969269,5132153894.224176,5398188785664.0,5398188785664.0,1799077888000.0,5398188785664.035,154556608710618.97,
27,55848,True,0.29641109704971313,0.3322836756706238,0.035872578620910645,0.14732897281646729,0.14908212423324585,124431753216.0,44430974976.0,588960128.0,33868468224.0,0.27487578988075256,123213718598.83665,-1575919198142464.0,-1575919198142464.0,555468825034752.0,1575919198142464.2,1.0570812605717204e+16,
28,57917,True,0.070773646235466,0.06583912670612335,0.004934519529342651,0.14732897281646729,-0.07655532658100128,48134638010368.0,24385165459456.0,175255879680.0,11595381997568.0,0.7570091485977173,15317360456009.375,-3485292140953600.0,-3485292140953600.0,1550216905883648.0,3485292140953600.0,4.552644860342112e+16,
29,59985,True,0.15866702795028687,0.6524202823638916,0.49375325441360474,0.14732897281646729,0.01133805513381958,20140148129792.0,13043195969536.0,62762319872.0,3840529924096.0,0.95022052526474,4041724864894.908,1.882899918671053e+16,1.882899918671053e+16,1.1118495655788544e+16,1.882899918671053e+16,1.6606903885028733e+18,
30,62053,True,0.16809549927711487,0.309347540140152,0.1412520408630371,0.14732897281646729,0.020766526460647583,1865485647872.0,1434826440704.0,6182524416.0,375161978880.0,1.5262197256088257,245811250231.57712,1.037520681165652e+18,1.037520681165652e+18,2.9495918115527066e+17,1.037520681165652e+18,4.996120478221454e+19,
31,64122,True,0.15031148493289948,0.1633111834526062,0.012999698519706726,0.14732897281646729,0.00298251211643219,37001834496.0,19061866496.0,169508512.0,9319345152.0,0.2432258427143097,38315604328.88045,57520961880064.0,57520961880064.0,12124050948096.0,57520961880064.0,1.9286078183510276e+16,
32,66190,True,0.4676312506198883,0.5762497782707214,0.10861852765083313,0.14732897281646729,0.320302277803421,42245324800.0,11202179072.0,307688768.0,10556997632.0,1.218448519706726,8664295176.41091,3.922536078875034e+16,3.922536078875034e+16,9875692107857920.0,3.922536078875034e+16,1.2246357115418842e+17,
33,68259,True,0.07788219302892685,0.0532146580517292,0.024667534977197647,0.14732897281646729,-0.06944677978754044,118228.8984375,38615.4609375,899.7310180664062,15426.2890625,0.16411994397640228,93993.99420169217,-111924633141248.0,-111924633141248.0,159596186435584.0,111924633141247.94,1611660518774937.5,
34,70327,True,0.538920521736145,0.6497241258621216,0.11080360412597656,0.14732897281646729,0.39159154891967773,122245171118080.0,56537120768000.0,552144666624.0,30775453941760.0,0.9992882609367371,30797373635622.375,1523382889742336.0,1523382889742336.0,1019190437740544.0,1523382889742335.5,3890234337133046.0,
35,72396,True,0.18903595209121704,0.0525393970310688,0.13649655506014824,0.14732897281646729,0.041706979274749756,61572135256064.0,23149531889664.0,280172298240.0,15653078564864.0,5.0811567306518555,3080613213608.919,40913275453440.0,40913275453440.0,48668627435520.0,40913275453439.96,980969520303493.0,
36,74464,True,0.3358197808265686,0.46374866366386414,0.12792888283729553,0.14732897281646729,0.18849080801010132,132217520128.0,74413686784.0,534577920.0,31045996544.0,1.099284052848816,28242014849.15905,-3.2534693376792986e+17,-3.2534693376792986e+17,8.743154973304422e+16,3.2534693376792986e+17,1.7260625979637599e+18,
37,76533,True,0.4387131631374359,0.4912708103656769,0.05255764722824097,0.14732897281646729,0.29138419032096863,5.192741303405773e+16,1.987074135687168e+16,317029085085696.0,1.3092008432238592e+16,2.208839178085327,5927098976751692.0,-151001654886400.0,-151001654886400.0,947883444535296.0,151001654886400.28,518221852460660.7,
38,78601,True,0.11549274623394012,0.3494281470775604,0.2339354008436203,0.14732897281646729,-0.03183622658252716,331076468736.0,134518939648.0,1948290688.0,87385333760.0,1.0636502504348755,82156078771.44986,1.732695978797957e+17,1.732695978797957e+17,6.239141365599437e+16,1.732695978797957e+17,5.442529359602234e+18,
39,80670,True,0.3914409875869751,0.5413565635681152,0.14991557598114014,0.14732897281646729,0.2441120147705078,13178664960.0,7669399552.0,91048256.0,2435457536.0,1.5096298456192017,1613281257.6986735,-165335235821568.0,-165335235821568.0,56661628682240.0,165335235821568.25,677292496136760.4,
40,82738,True,0.07458601146936417,0.08564266562461853,0.011056654155254364,0.14732897281646729,-0.07274296134710312,104985.6796875,23961.408203125,997.3651123046875,17569.794921875,0.13985994458198547,125624.20909280168,48972353765376.0,48972353765376.0,22881763328000.0,48972353765376.07,673224637240494.9,
41,84807,True,0.0516679584980011,0.33399632573127747,0.28232836723327637,0.14732897281646729,-0.09566101431846619,59097705611264.0,18519169171456.0,292253597696.0,16607581569024.0,0.3189184367656708,52074698902486.55,-762884976017408.0,-762884976017408.0,5205476203560960.0,762884976017407.9,7974878600698334.0,
42,86875,True,0.058970265090465546,0.05523383244872093,0.0037364326417446136,0.14732897281646729,-0.08835870772600174,1188922.25,436331.0,6617.13232421875,295041.46875,1.67182195186615,176479.00149933057,-595699171328.0,-595699171328.0,7721057779712.0,595699171327.9116,6741827564617.839,
43,88943,True,0.4585748314857483,0.3690411448478699,0.08953368663787842,0.14732897281646729,0.311245858669281,2096149.0,665930.875,21873.2578125,109352.875,0.21416743099689484,510595.259470547,-86816967360512.0,-86816967360512.0,49118407819264.0,86816967360512.31,278933726962394.9,
44,91012,True,0.053907692432403564,0.23260921239852905,0.1787015199661255,0.14732897281646729,-0.09342128038406372,324947168.0,136010288.0,1386303.75,74527928.0,0.2000756710767746,372498703.11019254,-268717514555392.0,-268717514555392.0,238313508175872.0,268717514555391.9,2876405819399952.0,
45,93080,True,0.3771723508834839,0.33056390285491943,0.04660844802856445,0.14732897281646729,0.2298433780670166,7.068244858896384e+16,4.652171136073728e+16,262894998519808.0,1.5741229086015488e+16,5.262176036834717,2991391579420457.5,-3.784784881280614e+16,-3.784784881280614e+16,1.89164855230464e+16,3.784784881280614e+16,1.6466799753354646e+17,
46,95149,True,0.3715966045856476,0.5380332469940186,0.16643664240837097,0.14732897281646729,0.2242676317691803,129601510572032.0,100230712262656.0,435787759616.0,27895235870720.0,0.39285993576049805,71005550150387.36,4.958075062130311e+18,4.958075062130311e+18,5.398632878705738e+18,4.958075062130311e+18,2.2107849550090805e+19,
47,97217,True,0.21477200090885162,0.45030057430267334,0.23552857339382172,0.14732897281646729,0.06744302809238434,7232550912.0,3284707840.0,31529344.0,1732133760.0,1.0486685037612915,1651745765.022314,406263607328768.0,406263607328768.0,208095393349632.0,406263607328767.94,6023804369611621.0,
48,99286,True,0.4750382900238037,0.6107025146484375,0.1356642246246338,0.14732897281646729,0.3277093172073364,13824338944.0,5348071936.0,92079544.0,3797246464.0,0.39181461930274963,9691436401.115807,280221685121024.0,280221685121024.0,120222660952064.0,280221685121023.7,855092212538091.6,
49,101354,True,-0.01170167326927185,0.08750970661640167,0.09921137988567352,0.14732897281646729,-0.15903064608573914,335880.78125,190884.296875,1549.1593017578125,91388.4609375,0.10976540297269821,832579.8335585842,-1798954836557824.0,-1798954836557824.0,355869581639680.0,1798954836557823.8,1.131200105655504e+16,
50,103423,True,0.09594696015119553,0.1033463329076767,0.007399372756481171,0.14732897281646729,-0.05138201266527176,57922046394368.0,39188879638528.0,254675779584.0,13378034597888.0,4.07243537902832,3285020719243.429,-207063225466880.0,-207063225466880.0,167125163442176.0,207063225466879.94,4029877669677206.5,
51,105491,True,0.03534664213657379,0.08062230050563812,0.04527565836906433,0.14732897281646729,-0.1119823306798935,127227368.0,37396736.0,961496.5,22648638.0,1.358604073524475,16670521.192568755,-16770262892544.0,-16770262892544.0,4048003268608.0,16770262892543.889,149758116218644.16,
52,107560,True,0.15146681666374207,0.3454577326774597,0.19399091601371765,0.14732897281646729,0.00413784384727478,267122974392320.0,152717494321152.0,1240931762176.0,68557396246528.0,0.8587873578071594,79830467487997.83,1601483783012352.0,1601483783012352.0,1.6878356037369856e+16,1601483783012352.0,3.870334023552072e+17,
53,109628,True,0.20531439781188965,0.425315797328949,0.22000139951705933,0.14732897281646729,0.05798542499542236,3686073344.0,3136814336.0,10886329.0,668078016.0,0.19707167148590088,3390025623.4838724,-5755000626085888.0,-5755000626085888.0,2367279941550080.0,5755000626085888.0,9.92490893434163e+16,
54,111697,True,0.21242433786392212,0.3353613615036011,0.12293702363967896,0.14732897281646729,0.06509536504745483,211999082414080.0,105432035098624.0,910253359104.0,53468538601472.0,0.9525236487388611,56133554975001.63,-1811857992056832.0,-1811857992056832.0,566609601101824.0,1811857992056832.0,2.7833901702650332e+16,
